piece	sum	instruction	answer
1	18	Use 1 Red and 2 Green	Green, Green, Red
2	8	Use 2 Blue and 1 Yellow	Yellow, Blue, Blue
3	13	Use 2 Red and 1 Yellow	Yellow, Red, Red
4	14	Use 1 Blue and 2 Yellow	Yellow, Blue, Yellow
5	18	Use 1 Red and 2 Green	Green, Green, Red
6	9	Use 2 Blue and 1 Red	Blue, Blue, Red
7	15	Use 2 Red and 1 Yellow	Red, Red, Yellow
8	13	Use 2 Red and 1 Yellow	Yellow, Red, Red
9	16	Use 1 Blue and 2 Yellow	Blue, Yellow, Yellow
10	16	Use 1 Red and 2 Yellow	Yellow, Red, Yellow
11	14	Use 2 Red and 1 Yellow	Red, Yellow, Red
12	9	Use 2 Blue and 1 Green	Green, Blue, Blue
13	23	Use 1 Yellow and 2 Green	Yellow, Green, Green
14	21	Use 2 Yellow and 1 Green	Yellow, Yellow, Green
15	19	Use 2 Yellow and 1 Green	Green, Yellow, Yellow
16	12	Use 1 Blue and 2 Yellow	Yellow, Yellow, Blue
17	10	Use 1 Blue and 2 Red	Red, Blue, Red
