piece	sum	instruction	answer
1	9	Use 2 Blue and 1 Green	Green, Blue, Blue
2	12	Use 2 Blue and 1 Yellow	Blue, Blue, Yellow
3	16	Use 2 Red and 1 Green	Red, Green, Red
4	22	Use 1 Yellow and 2 Green	Green, Yellow, Green
5	17	Use 1 Red and 2 Yellow	Red, Yellow, Yellow
6	15	Use 2 Red and 1 Yellow	Red, Red, Yellow
7	11	Use 1 Blue and 2 Red	Blue, Red, Red
8	16	Use 1 Red and 2 Yellow	Yellow, Red, Yellow
9	14	Use 2 Red and 1 Green	Green, Red, Red
10	18	Use 1 Blue and 2 Green	Green, Blue, Green
11	12	Use 1 Blue and 2 Yellow	Yellow, Yellow, Blue
12	8	Use 2 Blue and 1 Red	Blue, Red, Blue
13	14	Use 2 Red and 1 Green	Green, Red, Red
14	20	Use 2 Yellow and 1 Green	Yellow, Green, Yellow
15	7	Use 2 Blue and 1 Red	Red, Blue, Blue
16	20	Use 1 Red and 2 Green	Green, Red, Green
17	9	Use 2 Blue and 1 Green	Green, Blue, Blue
