piece	sum	instruction	answer
1	15	Use 1 Red and 2 Yellow	Yellow, Yellow, Red
2	7	Use 2 Blue and 1 Red	Red, Blue, Blue
3	14	Use 2 Red and 1 Yellow	Red, Yellow, Red
4	16	Use 1 Blue and 2 Yellow	Blue, Yellow, Yellow
5	16	Use 1 Red and 2 Yellow	Yellow, Red, Yellow
6	16	Use 1 Red and 2 Yellow	Yellow, Red, Yellow
7	22	Use 1 Yellow and 2 Green	Green, Yellow, Green
8	14	Use 1 Blue and 2 Yellow	Yellow, Blue, Yellow
9	20	Use 1 Red and 2 Green	Green, Red, Green
10	7	Use 2 Blue and 1 Red	Red, Blue, Blue
11	11	Use 1 Blue and 2 Red	Blue, Red, Red
12	21	Use 2 Yellow and 1 Green	Yellow, Yellow, Green
13	15	Use 1 Red and 2 Yellow	Yellow, Yellow, Red
14	16	Use 1 Red and 2 Yellow	Yellow, Red, Yellow
15	12	Use 2 Blue and 1 Yellow	Blue, Blue, Yellow
16	16	Use 2 Red and 1 Green	Red, Green, Red
17	14	Use 2 Red and 1 Green	Green, Red, Red
