piece	sum	instruction	answer
1	20	Use 1 Red and 2 Green	Green, Red, Green
2	16	Use 2 Red and 1 Green	Red, Green, Red
3	14	Use 2 Red and 1 Green	Green, Red, Red
4	14	Use 2 Red and 1 Green	Green, Red, Red
5	16	Use 1 Blue and 2 Yellow	Blue, Yellow, Yellow
6	16	Use 2 Red and 1 Green	Red, Green, Red
7	15	Use 2 Blue and 1 Green	Blue, Blue, Green
8	9	Use 2 Blue and 1 Green	Green, Blue, Blue
9	15	Use 1 Red and 2 Yellow	Yellow, Yellow, Red
10	8	Use 2 Blue and 1 Yellow	Yellow, Blue, Blue
11	21	Use 2 Yellow and 1 Green	Yellow, Yellow, Green
12	20	Use 2 Yellow and 1 Green	Yellow, Green, Yellow
13	15	Use 1 Red and 2 Yellow	Yellow, Yellow, Red
14	9	Use 2 Blue and 1 Red	Blue, Blue, Red
15	9	Use 2 Blue and 1 Red	Blue, Blue, Red
16	14	Use 1 Blue and 2 Yellow	Yellow, Blue, Yellow
17	17	Use 1 Red and 2 Yellow	Red, Yellow, Yellow
