piece	sum	instruction	answer
1	21	Use 1 Blue and 2 Green	Blue, Green, Green
2	8	Use 2 Blue and 1 Red	Blue, Red, Blue
3	23	Use 1 Yellow and 2 Green	Yellow, Green, Green
4	22	Use 1 Red and 2 Green	Red, Green, Green
5	21	Use 1 Blue and 2 Green	Blue, Green, Green
6	9	Use 1 Blue and 2 Red	Red, Red, Blue
7	15	Use 1 Blue and 2 Green	Green, Green, Blue
8	9	Use 2 Blue and 1 Green	Green, Blue, Blue
9	13	Use 2 Red and 1 Yellow	Yellow, Red, Red
10	21	Use 1 Yellow and 2 Green	Green, Green, Yellow
11	17	Use 1 Red and 2 Yellow	Red, Yellow, Yellow
12	19	Use 2 Yellow and 1 Green	Green, Yellow, Yellow
13	20	Use 1 Red and 2 Green	Green, Red, Green
14	15	Use 2 Blue and 1 Green	Blue, Blue, Green
15	14	Use 2 Red and 1 Green	Green, Red, Red
16	20	Use 2 Yellow and 1 Green	Yellow, Green, Yellow
17	15	Use 1 Red and 2 Yellow	Yellow, Yellow, Red
