answer
Green, Red, Red
Yellow, Blue, Blue
Blue, Yellow, Blue
Blue, Blue, Green
Yellow, Blue, Blue
Red, Green, Green
Green, Red, Red
Red, Green, Green
Yellow, Blue, Blue
Green, Red, Green
Green, Red, Red
Yellow, Green, Yellow
Yellow, Green, Yellow
Red, Green, Green
Yellow, Green, Yellow
Yellow, Green, Yellow
Yellow, Blue, Blue
Blue, Blue, Green
Green, Red, Green
Yellow, Blue, Blue
Green, Red, Red
Yellow, Blue, Blue
Blue, Blue, Green
Red, Green, Green
Green, Red, Green
Green, Red, Green
Yellow, Blue, Blue
Green, Red, Green
Green, Red, Green
Yellow, Blue, Blue
Yellow, Green, Yellow
Green, Red, Red
Green, Red, Green
Red, Green, Green
Green, Red, Red
Blue, Yellow, Blue
Red, Green, Green
Red, Blue, Red
Green, Red, Green
Yellow, Green, Yellow
