piece	sum	instruction	answer
1	23	Use 1 Yellow and 2 Green	Yellow, Green, Green
2	20	Use 2 Yellow and 1 Green	Yellow, Green, Yellow
3	12	Use 2 Blue and 1 Yellow	Blue, Blue, Yellow
4	15	Use 2 Red and 1 Yellow	Red, Red, Yellow
5	23	Use 1 Yellow and 2 Green	Yellow, Green, Green
6	15	Use 1 Red and 2 Yellow	Yellow, Yellow, Red
7	22	Use 1 Red and 2 Green	Red, Green, Green
8	14	Use 2 Red and 1 Green	Green, Red, Red
9	8	Use 2 Blue and 1 Red	Blue, Red, Blue
10	15	Use 2 Red and 1 Yellow	Red, Red, Yellow
11	12	Use 1 Blue and 2 Yellow	Yellow, Yellow, Blue
12	20	Use 2 Yellow and 1 Green	Yellow, Green, Yellow
13	22	Use 1 Yellow and 2 Green	Green, Yellow, Green
14	14	Use 1 Blue and 2 Yellow	Yellow, Blue, Yellow
15	14	Use 1 Blue and 2 Yellow	Yellow, Blue, Yellow
16	21	Use 1 Yellow and 2 Green	Green, Green, Yellow
17	21	Use 2 Yellow and 1 Green	Yellow, Yellow, Green
