piece	sum	instruction	answer
1	10	Use 1 Blue and 2 Red	Red, Blue, Red
2	9	Use 1 Blue and 2 Red	Red, Red, Blue
3	16	Use 1 Red and 2 Yellow	Yellow, Red, Yellow
4	16	Use 1 Red and 2 Yellow	Yellow, Red, Yellow
5	13	Use 2 Red and 1 Yellow	Yellow, Red, Red
6	15	Use 2 Red and 1 Yellow	Red, Red, Yellow
7	16	Use 1 Red and 2 Yellow	Yellow, Red, Yellow
8	14	Use 2 Red and 1 Green	Green, Red, Red
9	20	Use 1 Red and 2 Green	Green, Red, Green
10	20	Use 2 Yellow and 1 Green	Yellow, Green, Yellow
11	14	Use 2 Red and 1 Yellow	Red, Yellow, Red
12	9	Use 2 Blue and 1 Green	Green, Blue, Blue
13	14	Use 2 Red and 1 Green	Green, Red, Red
14	8	Use 2 Blue and 1 Red	Blue, Red, Blue
15	9	Use 1 Blue and 2 Red	Red, Red, Blue
16	15	Use 2 Red and 1 Yellow	Red, Red, Yellow
17	17	Use 1 Red and 2 Yellow	Red, Yellow, Yellow
