answer
Red, Green, Green
Green, Red, Red
Green, Red, Red
Blue, Green, Blue
Red, Green, Green
Yellow, Blue, Blue
Yellow, Green, Green
Yellow, Yellow, Red
Red, Green, Green
Red, Blue, Red
Red, Yellow, Red
Blue, Red, Blue
Blue, Blue, Green
Yellow, Green, Yellow
Yellow, Yellow, Blue
Blue, Yellow, Yellow
Yellow, Green, Yellow
Yellow, Blue, Blue
Red, Red, Blue
Blue, Yellow, Blue
Red, Blue, Red
Red, Green, Green
Blue, Blue, Green
Yellow, Blue, Yellow
Blue, Yellow, Blue
Green, Red, Red
Blue, Green, Green
Blue, Red, Red
Red, Blue, Red
Blue, Yellow, Blue
Red, Blue, Red
Yellow, Yellow, Blue
Yellow, Green, Yellow
Red, Blue, Red
Yellow, Yellow, Red
Blue, Yellow, Yellow
Green, Red, Green
Red, Blue, Red
Blue, Blue, Yellow
Green, Yellow, Yellow
