answer
Blue, Blue, Green
Yellow, Blue, Blue
Green, Red, Red
Yellow, Green, Yellow
Red, Green, Green
Red, Blue, Red
Green, Red, Red
Blue, Blue, Green
Yellow, Blue, Blue
Blue, Blue, Green
Green, Red, Green
Red, Blue, Red
Yellow, Green, Yellow
Blue, Blue, Green
Green, Red, Red
Yellow, Green, Yellow
Green, Red, Red
Green, Red, Green
Red, Blue, Red
Green, Red, Green
Blue, Yellow, Blue
Green, Red, Red
Red, Green, Green
Blue, Yellow, Blue
Red, Blue, Red
Red, Blue, Red
Green, Red, Green
Blue, Yellow, Blue
Red, Green, Green
Blue, Blue, Green
Blue, Yellow, Blue
Red, Green, Green
Yellow, Green, Yellow
Green, Red, Red
Yellow, Green, Yellow
Red, Blue, Red
Yellow, Green, Yellow
Blue, Yellow, Blue
Red, Green, Green
Red, Green, Green
