answer
Red, Green, Green
Yellow, Green, Yellow
Red, Green, Green
Red, Blue, Red
Yellow, Green, Yellow
Red, Blue, Red
Yellow, Blue, Blue
Blue, Yellow, Blue
Red, Blue, Red
Green, Red, Green
Blue, Blue, Green
Yellow, Blue, Blue
Green, Red, Green
Blue, Blue, Green
Yellow, Green, Yellow
Red, Green, Green
Green, Red, Green
Blue, Blue, Green
Green, Red, Red
Red, Green, Green
Green, Red, Red
Green, Red, Green
Blue, Yellow, Blue
Red, Blue, Red
Green, Red, Red
Blue, Yellow, Blue
Yellow, Green, Yellow
Green, Red, Red
Blue, Yellow, Blue
Yellow, Blue, Blue
Yellow, Blue, Blue
Green, Red, Red
Yellow, Green, Yellow
Red, Blue, Red
Blue, Blue, Green
Green, Red, Green
Blue, Yellow, Blue
Blue, Blue, Green
Yellow, Green, Yellow
Green, Red, Green
