piece	sum	instruction	answer
1	21	Use 2 Yellow and 1 Green	Yellow, Yellow, Green
2	20	Use 2 Yellow and 1 Green	Yellow, Green, Yellow
3	16	Use 1 Red and 2 Yellow	Yellow, Red, Yellow
4	23	Use 1 Yellow and 2 Green	Yellow, Green, Green
5	22	Use 1 Yellow and 2 Green	Green, Yellow, Green
6	18	Use 1 Blue and 2 Green	Green, Blue, Green
7	21	Use 1 Blue and 2 Green	Blue, Green, Green
8	8	Use 2 Blue and 1 Red	Blue, Red, Blue
9	12	Use 2 Blue and 1 Green	Blue, Green, Blue
10	12	Use 1 Blue and 2 Yellow	Yellow, Yellow, Blue
11	20	Use 1 Red and 2 Green	Green, Red, Green
12	7	Use 2 Blue and 1 Red	Red, Blue, Blue
13	16	Use 1 Blue and 2 Yellow	Blue, Yellow, Yellow
14	15	Use 2 Blue and 1 Green	Blue, Blue, Green
15	16	Use 2 Red and 1 Green	Red, Green, Red
16	14	Use 2 Red and 1 Green	Green, Red, Red
17	15	Use 2 Red and 1 Yellow	Red, Red, Yellow
