piece	sum	instruction	answer
1	17	Use 1 Red and 2 Yellow	Red, Yellow, Yellow
2	20	Use 2 Yellow and 1 Green	Yellow, Green, Yellow
3	18	Use 1 Blue and 2 Green	Green, Blue, Green
4	13	Use 2 Red and 1 Yellow	Yellow, Red, Red
5	15	Use 2 Red and 1 Yellow	Red, Red, Yellow
6	9	Use 1 Blue and 2 Red	Red, Red, Blue
7	18	Use 2 Red and 1 Green	Red, Red, Green
8	14	Use 2 Red and 1 Yellow	Red, Yellow, Red
9	15	Use 2 Blue and 1 Green	Blue, Blue, Green
10	15	Use 2 Red and 1 Yellow	Red, Red, Yellow
11	20	Use 1 Red and 2 Green	Green, Red, Green
12	21	Use 1 Yellow and 2 Green	Green, Green, Yellow
13	14	Use 2 Red and 1 Green	Green, Red, Red
14	9	Use 2 Blue and 1 Red	Blue, Blue, Red
15	16	Use 1 Red and 2 Yellow	Yellow, Red, Yellow
16	15	Use 2 Red and 1 Yellow	Red, Red, Yellow
17	14	Use 2 Red and 1 Green	Green, Red, Red
