piece	sum	instruction	answer
1	21	Use 1 Yellow and 2 Green	Green, Green, Yellow
2	12	Use 2 Blue and 1 Green	Blue, Green, Blue
3	21	Use 1 Yellow and 2 Green	Green, Green, Yellow
4	15	Use 2 Blue and 1 Green	Blue, Blue, Green
5	16	Use 2 Red and 1 Green	Red, Green, Red
6	16	Use 2 Red and 1 Green	Red, Green, Red
7	15	Use 1 Blue and 2 Green	Green, Green, Blue
8	8	Use 2 Blue and 1 Yellow	Yellow, Blue, Blue
9	10	Use 1 Blue and 2 Red	Red, Blue, Red
10	15	Use 2 Blue and 1 Green	Blue, Blue, Green
11	12	Use 2 Blue and 1 Green	Blue, Green, Blue
12	23	Use 1 Yellow and 2 Green	Yellow, Green, Green
13	14	Use 1 Blue and 2 Yellow	Yellow, Blue, Yellow
14	22	Use 1 Yellow and 2 Green	Green, Yellow, Green
15	8	Use 2 Blue and 1 Yellow	Yellow, Blue, Blue
16	21	Use 1 Blue and 2 Green	Blue, Green, Green
17	14	Use 2 Red and 1 Yellow	Red, Yellow, Red
