answer
Blue, Blue, Green
Green, Red, Red
Yellow, Green, Green
Green, Yellow, Green
Red, Green, Green
Blue, Blue, Green
Blue, Red, Blue
Blue, Green, Blue
Yellow, Green, Yellow
Blue, Blue, Green
Red, Blue, Blue
Blue, Yellow, Yellow
Yellow, Blue, Blue
Green, Red, Red
Green, Red, Red
Red, Red, Yellow
Yellow, Green, Yellow
Blue, Yellow, Blue
Yellow, Blue, Yellow
Yellow, Yellow, Green
Yellow, Blue, Blue
Yellow, Green, Yellow
Yellow, Red, Yellow
Blue, Blue, Yellow
Red, Green, Green
Green, Red, Green
Green, Red, Green
Red, Yellow, Red
Blue, Blue, Green
Red, Blue, Red
Yellow, Green, Green
Green, Yellow, Yellow
Green, Red, Red
Yellow, Blue, Blue
Red, Green, Red
Yellow, Yellow, Red
Green, Red, Red
Blue, Yellow, Blue
Blue, Green, Blue
Red, Red, Blue
