answer
Yellow, Green, Yellow
Green, Red, Red
Yellow, Green, Yellow
Yellow, Green, Yellow
Red, Green, Green
Yellow, Blue, Blue
Red, Green, Green
Red, Blue, Red
Yellow, Green, Yellow
Red, Green, Green
Blue, Blue, Green
Green, Red, Green
Yellow, Green, Yellow
Blue, Yellow, Blue
Red, Blue, Red
Yellow, Green, Yellow
Blue, Blue, Green
Green, Red, Green
Yellow, Green, Yellow
Blue, Blue, Green
Red, Green, Green
Blue, Blue, Green
Blue, Yellow, Blue
Green, Red, Green
Blue, Yellow, Blue
Green, Red, Red
Red, Green, Green
Green, Red, Green
Red, Green, Green
Red, Green, Green
Red, Green, Green
Yellow, Green, Yellow
Yellow, Green, Yellow
Green, Red, Red
Green, Red, Green
Blue, Yellow, Blue
Green, Red, Green
Yellow, Blue, Blue
Red, Green, Green
Yellow, Green, Yellow
