piece	sum	instruction	answer
1	20	Use 1 Red and 2 Green	Green, Red, Green
2	8	Use 2 Blue and 1 Yellow	Yellow, Blue, Blue
3	20	Use 2 Yellow and 1 Green	Yellow, Green, Yellow
4	9	Use 2 Blue and 1 Red	Blue, Blue, Red
5	12	Use 2 Blue and 1 Green	Blue, Green, Blue
6	18	Use 1 Red and 2 Green	Green, Green, Red
7	9	Use 2 Blue and 1 Red	Blue, Blue, Red
8	18	Use 2 Red and 1 Green	Red, Red, Green
9	21	Use 1 Yellow and 2 Green	Green, Green, Yellow
10	14	Use 2 Red and 1 Yellow	Red, Yellow, Red
11	20	Use 2 Yellow and 1 Green	Yellow, Green, Yellow
12	11	Use 1 Blue and 2 Red	Blue, Red, Red
13	14	Use 2 Red and 1 Green	Green, Red, Red
14	18	Use 2 Red and 1 Green	Red, Red, Green
15	8	Use 2 Blue and 1 Yellow	Yellow, Blue, Blue
16	20	Use 2 Yellow and 1 Green	Yellow, Green, Yellow
17	10	Use 2 Blue and 1 Yellow	Blue, Yellow, Blue
