piece	sum	instruction	answer
1	20	Use 1 Red and 2 Green	Green, Red, Green
2	14	Use 2 Red and 1 Yellow	Red, Yellow, Red
3	9	Use 1 Blue and 2 Red	Red, Red, Blue
4	21	Use 2 Yellow and 1 Green	Yellow, Yellow, Green
5	13	Use 2 Red and 1 Yellow	Yellow, Red, Red
6	15	Use 1 Blue and 2 Green	Green, Green, Blue
7	9	Use 2 Blue and 1 Green	Green, Blue, Blue
8	21	Use 1 Yellow and 2 Green	Green, Green, Yellow
9	21	Use 2 Yellow and 1 Green	Yellow, Yellow, Green
10	21	Use 1 Yellow and 2 Green	Green, Green, Yellow
11	20	Use 2 Yellow and 1 Green	Yellow, Green, Yellow
12	8	Use 2 Blue and 1 Yellow	Yellow, Blue, Blue
13	15	Use 1 Red and 2 Yellow	Yellow, Yellow, Red
14	12	Use 2 Blue and 1 Yellow	Blue, Blue, Yellow
15	22	Use 1 Yellow and 2 Green	Green, Yellow, Green
16	15	Use 2 Red and 1 Yellow	Red, Red, Yellow
17	12	Use 2 Blue and 1 Yellow	Blue, Blue, Yellow
