piece	sum	instruction	answer
1	14	Use 1 Blue and 2 Yellow	Yellow, Blue, Yellow
2	16	Use 1 Blue and 2 Yellow	Blue, Yellow, Yellow
3	21	Use 1 Yellow and 2 Green	Green, Green, Yellow
4	13	Use 2 Red and 1 Yellow	Yellow, Red, Red
5	18	Use 1 Red and 2 Green	Green, Green, Red
6	18	Use 2 Red and 1 Green	Red, Red, Green
7	12	Use 2 Blue and 1 Green	Blue, Green, Blue
8	13	Use 2 Red and 1 Yellow	Yellow, Red, Red
9	18	Use 2 Red and 1 Green	Red, Red, Green
10	23	Use 1 Yellow and 2 Green	Yellow, Green, Green
11	14	Use 2 Red and 1 Green	Green, Red, Red
12	12	Use 2 Blue and 1 Yellow	Blue, Blue, Yellow
13	20	Use 2 Yellow and 1 Green	Yellow, Green, Yellow
14	18	Use 2 Red and 1 Green	Red, Red, Green
15	18	Use 1 Blue and 2 Green	Green, Blue, Green
16	15	Use 1 Red and 2 Yellow	Yellow, Yellow, Red
17	18	Use 1 Blue and 2 Green	Green, Blue, Green
