piece	sum	instruction	answer
1	17	Use 1 Red and 2 Yellow	Red, Yellow, Yellow
2	15	Use 2 Red and 1 Yellow	Red, Red, Yellow
3	9	Use 2 Blue and 1 Red	Blue, Blue, Red
4	20	Use 2 Yellow and 1 Green	Yellow, Green, Yellow
5	15	Use 2 Red and 1 Yellow	Red, Red, Yellow
6	19	Use 2 Yellow and 1 Green	Green, Yellow, Yellow
7	16	Use 1 Red and 2 Yellow	Yellow, Red, Yellow
8	19	Use 2 Yellow and 1 Green	Green, Yellow, Yellow
9	15	Use 1 Red and 2 Yellow	Yellow, Yellow, Red
10	14	Use 2 Red and 1 Green	Green, Red, Red
11	17	Use 1 Red and 2 Yellow	Red, Yellow, Yellow
12	12	Use 2 Blue and 1 Yellow	Blue, Blue, Yellow
13	11	Use 1 Blue and 2 Red	Blue, Red, Red
14	18	Use 1 Red and 2 Green	Green, Green, Red
15	12	Use 2 Blue and 1 Yellow	Blue, Blue, Yellow
16	12	Use 2 Blue and 1 Green	Blue, Green, Blue
17	15	Use 1 Red and 2 Yellow	Yellow, Yellow, Red
