piece	sum	instruction	answer
1	19	Use 2 Yellow and 1 Green	Green, Yellow, Yellow
2	21	Use 1 Blue and 2 Green	Blue, Green, Green
3	10	Use 1 Blue and 2 Red	Red, Blue, Red
4	22	Use 1 Yellow and 2 Green	Green, Yellow, Green
5	21	Use 1 Yellow and 2 Green	Green, Green, Yellow
6	20	Use 2 Yellow and 1 Green	Yellow, Green, Yellow
7	14	Use 2 Red and 1 Green	Green, Red, Red
8	22	Use 1 Red and 2 Green	Red, Green, Green
9	12	Use 2 Blue and 1 Yellow	Blue, Blue, Yellow
10	10	Use 1 Blue and 2 Red	Red, Blue, Red
11	13	Use 2 Red and 1 Yellow	Yellow, Red, Red
12	14	Use 2 Red and 1 Green	Green, Red, Red
13	11	Use 1 Blue and 2 Red	Blue, Red, Red
14	13	Use 2 Red and 1 Yellow	Yellow, Red, Red
15	16	Use 1 Blue and 2 Yellow	Blue, Yellow, Yellow
16	7	Use 2 Blue and 1 Red	Red, Blue, Blue
17	21	Use 2 Yellow and 1 Green	Yellow, Yellow, Green
