piece	sum	instruction	answer
1	17	Use 1 Red and 2 Yellow	Red, Yellow, Yellow
2	15	Use 1 Red and 2 Yellow	Yellow, Yellow, Red
3	21	Use 1 Yellow and 2 Green	Green, Green, Yellow
4	15	Use 2 Blue and 1 Green	Blue, Blue, Green
5	10	Use 2 Blue and 1 Yellow	Blue, Yellow, Blue
6	20	Use 1 Red and 2 Green	Green, Red, Green
7	15	Use 2 Blue and 1 Green	Blue, Blue, Green
8	7	Use 2 Blue and 1 Red	Red, Blue, Blue
9	12	Use 1 Blue and 2 Yellow	Yellow, Yellow, Blue
10	17	Use 1 Red and 2 Yellow	Red, Yellow, Yellow
11	15	Use 1 Blue and 2 Green	Green, Green, Blue
12	17	Use 1 Red and 2 Yellow	Red, Yellow, Yellow
13	16	Use 2 Red and 1 Green	Red, Green, Red
14	15	Use 2 Red and 1 Yellow	Red, Red, Yellow
15	15	Use 1 Red and 2 Yellow	Yellow, Yellow, Red
16	15	Use 1 Red and 2 Yellow	Yellow, Yellow, Red
17	15	Use 1 Blue and 2 Green	Green, Green, Blue
