answer
Red, Green, Green
Yellow, Blue, Blue
Blue, Yellow, Blue
Blue, Blue, Green
Yellow, Green, Yellow
Blue, Yellow, Blue
Green, Red, Red
Red, Blue, Red
Red, Blue, Red
Red, Blue, Red
Yellow, Green, Yellow
Yellow, Green, Yellow
Yellow, Green, Yellow
Red, Green, Green
Blue, Blue, Green
Yellow, Green, Yellow
Blue, Yellow, Blue
Yellow, Green, Yellow
Blue, Blue, Green
Blue, Yellow, Blue
Red, Green, Green
Green, Red, Red
Red, Green, Green
Red, Blue, Red
Yellow, Blue, Blue
Yellow, Green, Yellow
Yellow, Green, Yellow
Green, Red, Green
Yellow, Green, Yellow
Green, Red, Green
Yellow, Green, Yellow
Blue, Blue, Green
Red, Blue, Red
Red, Green, Green
Yellow, Blue, Blue
Yellow, Blue, Blue
Yellow, Blue, Blue
Blue, Yellow, Blue
Red, Blue, Red
Green, Red, Red
