piece	sum	instruction	answer
1	14	Use 2 Red and 1 Yellow	Red, Yellow, Red
2	10	Use 1 Blue and 2 Red	Red, Blue, Red
3	16	Use 1 Red and 2 Yellow	Yellow, Red, Yellow
4	14	Use 2 Red and 1 Yellow	Red, Yellow, Red
5	9	Use 1 Blue and 2 Red	Red, Red, Blue
6	12	Use 1 Blue and 2 Yellow	Yellow, Yellow, Blue
7	22	Use 1 Red and 2 Green	Red, Green, Green
8	22	Use 1 Red and 2 Green	Red, Green, Green
9	22	Use 1 Red and 2 Green	Red, Green, Green
10	15	Use 2 Blue and 1 Green	Blue, Blue, Green
11	9	Use 2 Blue and 1 Green	Green, Blue, Blue
12	22	Use 1 Yellow and 2 Green	Green, Yellow, Green
13	17	Use 1 Red and 2 Yellow	Red, Yellow, Yellow
14	16	Use 1 Red and 2 Yellow	Yellow, Red, Yellow
15	10	Use 1 Blue and 2 Red	Red, Blue, Red
16	9	Use 2 Blue and 1 Red	Blue, Blue, Red
17	20	Use 2 Yellow and 1 Green	Yellow, Green, Yellow
