answer
Green, Red, Green
Yellow, Green, Yellow
Red, Yellow, Red
Green, Red, Red
Yellow, Blue, Blue
Red, Green, Green
Yellow, Green, Green
Yellow, Green, Yellow
Green, Red, Red
Green, Red, Red
Green, Blue, Green
Yellow, Yellow, Red
Red, Green, Green
Red, Blue, Red
Blue, Yellow, Blue
Blue, Red, Blue
Yellow, Blue, Blue
Red, Blue, Red
Blue, Green, Green
Blue, Blue, Yellow
Green, Red, Red
Yellow, Blue, Blue
Red, Yellow, Yellow
Green, Red, Green
Green, Red, Green
Red, Blue, Red
Green, Red, Green
Blue, Green, Blue
Blue, Blue, Green
Red, Blue, Red
Red, Red, Blue
Red, Blue, Red
Blue, Yellow, Blue
Yellow, Green, Yellow
Yellow, Green, Green
Yellow, Green, Yellow
Red, Blue, Red
Red, Green, Green
Red, Red, Green
Yellow, Red, Red
