answer
Yellow, Green, Yellow
Green, Red, Green
Red, Blue, Red
Blue, Blue, Green
Yellow, Green, Yellow
Blue, Yellow, Blue
Green, Red, Red
Blue, Yellow, Blue
Green, Red, Green
Yellow, Blue, Blue
Red, Blue, Red
Green, Red, Red
Yellow, Green, Yellow
Red, Green, Green
Red, Blue, Red
Red, Blue, Red
Yellow, Blue, Blue
Yellow, Blue, Blue
Red, Green, Green
Green, Red, Green
Yellow, Green, Yellow
Blue, Yellow, Blue
Red, Blue, Red
Green, Red, Red
Green, Red, Red
Yellow, Blue, Blue
Yellow, Green, Yellow
Red, Green, Green
Yellow, Blue, Blue
Yellow, Green, Yellow
Yellow, Blue, Blue
Yellow, Blue, Blue
Yellow, Green, Yellow
Red, Green, Green
Red, Blue, Red
Green, Red, Red
Red, Blue, Red
Red, Green, Green
Yellow, Blue, Blue
Yellow, Blue, Blue
