answer
Blue, Blue, Green
Blue, Blue, Green
Green, Red, Green
Yellow, Yellow, Green
Green, Red, Green
Yellow, Green, Yellow
Yellow, Yellow, Green
Blue, Green, Green
Yellow, Green, Yellow
Blue, Yellow, Blue
Green, Red, Green
Red, Red, Yellow
Yellow, Green, Yellow
Blue, Yellow, Blue
Green, Yellow, Green
Yellow, Blue, Blue
Red, Green, Green
Blue, Blue, Green
Blue, Green, Blue
Red, Blue, Blue
Blue, Yellow, Blue
Red, Blue, Red
Yellow, Blue, Blue
Yellow, Red, Red
Green, Red, Green
Red, Blue, Red
Yellow, Green, Yellow
Blue, Yellow, Yellow
Blue, Blue, Green
Green, Red, Green
Red, Green, Green
Green, Red, Red
Yellow, Blue, Blue
Blue, Blue, Green
Red, Blue, Blue
Blue, Blue, Red
Blue, Blue, Green
Yellow, Blue, Blue
Red, Red, Green
Yellow, Green, Green
