piece	sum	instruction	answer
1	16	Use 1 Blue and 2 Yellow	Blue, Yellow, Yellow
2	21	Use 1 Yellow and 2 Green	Green, Green, Yellow
3	21	Use 2 Yellow and 1 Green	Yellow, Yellow, Green
4	17	Use 1 Red and 2 Yellow	Red, Yellow, Yellow
5	14	Use 2 Red and 1 Yellow	Red, Yellow, Red
6	18	Use 2 Red and 1 Green	Red, Red, Green
7	7	Use 2 Blue and 1 Red	Red, Blue, Blue
8	16	Use 2 Red and 1 Green	Red, Green, Red
9	7	Use 2 Blue and 1 Red	Red, Blue, Blue
10	12	Use 1 Blue and 2 Yellow	Yellow, Yellow, Blue
11	20	Use 1 Red and 2 Green	Green, Red, Green
12	12	Use 1 Blue and 2 Yellow	Yellow, Yellow, Blue
13	20	Use 2 Yellow and 1 Green	Yellow, Green, Yellow
14	14	Use 2 Red and 1 Green	Green, Red, Red
15	13	Use 2 Red and 1 Yellow	Yellow, Red, Red
16	9	Use 2 Blue and 1 Green	Green, Blue, Blue
17	7	Use 2 Blue and 1 Red	Red, Blue, Blue
